Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
23393485327,Rejuvex Revitalizador Plástico + Aplicador Vonixx,"38,80",248,GHSPEÇAS,7%,"R$2,72",https://shopee.com.br/product/421564179/23393485327,https://s.shopee.com.br/9AI6ENhI8Z
18897797037,Produto Para Limpar Painel Sintra Fast + Intense Vonixx,"94,08",468,BSHOP AUTO,7%,"R$6,59",https://shopee.com.br/product/1166317321/18897797037,https://s.shopee.com.br/8068qEljVM
20599555625,MAKKER 500ML VONIXX,"48,00",129,BSHOP AUTO,7%,"R$3,36",https://shopee.com.br/product/1166317321/20599555625,https://s.shopee.com.br/8APZ2Xl6AP
19897975100,Kit Produtos para Estética Automotiva Vonixx V-Mol Strike Delet e Restaurax,"177,48",6,GHSPEÇAS,7%,"R$12,42",https://shopee.com.br/product/421564179/19897975100,https://s.shopee.com.br/8KizEqkSpS
22693605882,Kit da Vonixx Restaurax V-Floc Sintra V Mol Borrifador 2 Aplicador Zacs,"250,00",25,Fonte.do Brilho,14%,"R$35,00",https://shopee.com.br/product/322584913/22693605882,https://s.shopee.com.br/8V2PR9jpUV
23597985248,KIT COMPLETO VONIXX V-FLOC RESTAURAX SINTRA DARKER PRIZM REVOX BLEND BLACK E DELET,"284,00",5,ACVG DISTRIBUIDOR AUTORIZADA VONIXX,10%,"R$28,40",https://shopee.com.br/product/422902759/23597985248,https://s.shopee.com.br/9zrDDue7Ro
20297975081,Restaurax 500ml Revitalizador De Plástico + Intense Vonixx,"81,48",133,FastPeças,7%,"R$5,70",https://shopee.com.br/product/531765376/20297975081,https://s.shopee.com.br/AAAdQDdU6r
23298129642,Makker Maquiador Automotivo Esconde Defeitos Vonixx,"51,74",41,Detailers Pro,7%,"R$3,62",https://shopee.com.br/product/978343468/23298129642,https://s.shopee.com.br/AKU3cWcqlu
22997994951,Restaurax Restaurador Revitalizador de Plástico Vonixx 500ml,"69,90",113,Detailers Pro,7%,"R$4,89",https://shopee.com.br/product/978343468/22997994951,https://s.shopee.com.br/AUnTopcDQx
20597991973,Kit Shampoo Automotivo Sujeira Pesada V-Mol + V Floc 500ml Vonixx,"57,14",11,Loja do Som e Acessórios - 3,10%,"R$5,71",https://shopee.com.br/product/1273324128/20597991973,https://s.shopee.com.br/9KbWQggenk
22298086174,Rejuvex Black com aplicador zacs 400g Vonixx Vintex Revitalizador De Plásticos,"39,99",24,GHSIMPORTS,7%,"R$2,80",https://shopee.com.br/product/443743118/22298086174,https://s.shopee.com.br/9Uuwczg1Sn
22893489469,V-MOL 500ML VONIXX,"28,16",7,GHSPEÇAS,7%,"R$1,97",https://shopee.com.br/product/421564179/22893489469,https://s.shopee.com.br/9fEMpIfO7q
23098043147,"DARKER 1,5L VONIXX","54,90",179,BSHOP AUTO,7%,"R$3,84",https://shopee.com.br/product/1166317321/23098043147,https://s.shopee.com.br/9pXn1bekmt
22793258848,Kit Shampoo Automotivo Sujeira Pesada V-Floc + V-Mol 500ml Vonixx,"56,91",74,Loja do Som e Acessórios,11%,"R$6,26",https://shopee.com.br/product/341544056/22793258848,https://s.shopee.com.br/qcyJ4D13A
23993480423,Rejuvex Vonixx Revitalizador Plásticos Para-Choque + Aplicador e Luva,"39,99",41,FastPeças,7%,"R$2,80",https://shopee.com.br/product/531765376/23993480423,https://s.shopee.com.br/gJY6lDeO9
23493551108,"Restaurador Vidro Prizm Remove Mancha Chuva Ácida 1,5 Vonixx","76,00",60,Elite Label BR,14%,"R$10,64",https://shopee.com.br/product/844590786/23493551108,https://s.shopee.com.br/1BFohgBkNG
23493485255,REJUVEX RENOVADOR PLASTICOS APLICADOR ZACS  Kit Rejuvex - Renovação Completa com Facilidade e Precisão!,"38,80",65,GHSPEÇAS,7%,"R$2,72",https://shopee.com.br/product/421564179/23493485255,https://s.shopee.com.br/10wOVNCNiF
22693347777,Lava Autos 500ml Shampoo Concentrado Automotivo Vonixx / Vintex,"21,83",21,Loja do Som e Acessórios,11%,"R$2,40",https://shopee.com.br/product/341544056/22693347777,https://s.shopee.com.br/BNHVqFYP6
23298120659,"Verniz de Motor 1,5L Chassi Caixa de Rodas Vonixx","97,90",7,Detailers Pro,7%,"R$6,85",https://shopee.com.br/product/978343468/23298120659,https://s.shopee.com.br/13rJXGBk5
18598015550,Renovador Plastico Rejuvex Black Da Vonixx Vintex 400g Aplicador Zacs,"58,00",36,ND Fast,15%,"R$8,70",https://shopee.com.br/product/1231347115/18598015550,https://s.shopee.com.br/W07uSEHjC
21497970942,V-Mol Desincrustante Pesado de Barro e Graxa Vonixx 500ml,"30,91",92,Detailers Pro,7%,"R$2,16",https://shopee.com.br/product/978343468/21497970942,https://s.shopee.com.br/Lghi9Ev4B
19397988117,"Extractus Sensitive Limpador Ultra Concentrado 1,5l Vonixx","47,00",26,Elite Label BR,14%,"R$6,58",https://shopee.com.br/product/844590786/19397988117,https://s.shopee.com.br/2B8LtW7wLY
22398103619,"Sintra Pro Limpeza Interna De Veiculos 1,5 Litros Vonixx","50,96",2,Loja do Som e Acessórios - 3,10%,"R$5,10",https://shopee.com.br/product/1273324128/22398103619,https://s.shopee.com.br/20ovhD8ZgX
23393485440,Revitalizador De Plásticos Rejuvex Vonixx + Aplicador,"38,80",25,GHSPEÇAS,7%,"R$2,72",https://shopee.com.br/product/421564179/23393485440,https://s.shopee.com.br/2VlCI86ffe
19399566085,"Clay Bar Pad Vonixx 12cm x 7cm x 2,5cm","39,99",167,FGAutoShop,7%,"R$2,80",https://shopee.com.br/product/349832449/19399566085,https://s.shopee.com.br/2LRm5p7J0d
23997977179,REJUVEX RENOVADOR PLASTICOS APLICADOR ZACS  Kit Rejuvex - Renovação Completa com Facilidade e Precisão!,"38,80",162,GHSIMPORTS,7%,"R$2,72",https://shopee.com.br/product/443743118/23997977179,https://s.shopee.com.br/1Vsf6IAThU
23993480544,Revitalizador De Plásticos Automotivo Rejuvex Vonixx Vintex 400g Aplicador Parachoque Carro Moto Brilho,"38,80",41,GHSIMPORTS,7%,"R$2,72",https://shopee.com.br/product/443743118/23993480544,https://s.shopee.com.br/1LZEtzB72T
23393485266,Revitalizador De Plasticos Rejuvex 400g Restaurador,"38,80",5,GHSPEÇAS,7%,"R$2,72",https://shopee.com.br/product/421564179/23393485266,https://s.shopee.com.br/1qVVUu9D1a
23993480419,Rejuvex Vonixx Revitalizador Plásticos Para-Choque + Aplicador e Luva,"39,99",182,GHSPEÇAS,7%,"R$2,80",https://shopee.com.br/product/421564179/23993480419,https://s.shopee.com.br/1gC5Ib9qMZ
22793500761,Focus Removedor De Chuva Acida + Taco Carpete Vonixx,"82,00",178,Coltri Store,8%,"R$6,56",https://shopee.com.br/product/382710725/22793500761,https://s.shopee.com.br/3VdjTy2rdw
22598073544,Taco Carpete E Lona Descontaminante Alta Eficiencia Vonixx,"48,91",69,BSHOP AUTO,7%,"R$3,42",https://shopee.com.br/product/1166317321/22598073544,https://s.shopee.com.br/3LKJHf3Uyv
22793559466,Toalha Microfibra Secagem Ultra 70 x 120cm 400GSM Vonixx ,"87,99",46,Elite Label BR,14%,"R$12,32",https://shopee.com.br/product/844590786/22793559466,https://s.shopee.com.br/3qGZsa1ay2
21199306743,KIT ACOPLADORA GIRATÓRIA + KIT KIT 5 BICOS PARA LAVDORA DE ALTA PRESSAO,"188,95",3,Viana's Detail Shop,13%,"R$24,56",https://shopee.com.br/product/1263384641/21199306743,https://s.shopee.com.br/3fx9gH2EJ1
22294156089,Makker Maquiador Automotivo Renova Pintura Defeitos Vonixx	,"54,99",0,C2B STORE,10%,"R$5,50",https://shopee.com.br/product/495071794/22294156089,https://s.shopee.com.br/2qO2gk5Ozs
22398122459,SINTRA PRO LIMPADOR MULTIUSO BACTERICIDA 5L VONIXX,"97,99",4,PRUDENPARTS DISTRIBUIDORA,9%,"R$8,82",https://shopee.com.br/product/389206314/22398122459,https://s.shopee.com.br/2g4cUR62Kr
43975470019,Pulverizador De Pressão Automotivo Manual De Espuma De Neve Vonixx Snowfall 2 Litros,"49,90",20,BellaVista.br,9%,"R$4,49",https://shopee.com.br/product/1635329159/43975470019,https://s.shopee.com.br/3B0t5M48Jy
23993473783,Kit Produtos para Estética Automotiva Vonixx V-Mol Strike Delet e Restaurax,"182,96",1,GHSIMPORTS,7%,"R$12,81",https://shopee.com.br/product/443743118/23993473783,https://s.shopee.com.br/30hSt34lex
22193643464,"Shampoo Desengraxante Citron + Moto-V 1,5l Vonixx","118,99",4,C2B STORE,10%,"R$11,90",https://shopee.com.br/product/495071794/22193643464,https://s.shopee.com.br/4q974PxmwK
19997975072,REMOVEDOR DE PICHE E COLA STRIKE APLICADOR VONIXX  500ML,"65,99",59,GHSPEÇAS,7%,"R$4,62",https://shopee.com.br/product/421564179/19997975072,https://s.shopee.com.br/4fpgs6yQHJ
22998232146,"Kit Limpador Pneus E Borracha Delet 1,5l Vexus 500ml Vonixx","139,99",7,Elite Label BR,14%,"R$19,60",https://shopee.com.br/product/844590786/22998232146,https://s.shopee.com.br/5AlxT1wWGQ
20899378572,Kit Vonixx Restaurax + Sintra Fast + V-Floc Restauração e Lavagem de Plasticos,"116,31",5,Loja do Som e Acessórios,11%,"R$12,79",https://shopee.com.br/product/341544056/20899378572,https://s.shopee.com.br/50SXGix9bP
